file,n_points,n_segments,min_label,max_label,labels,has_nan
valve_0002_lidar_classes.ply,5843,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0003_lidar_classes.ply,5885,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0004_lidar_classes.ply,5610,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0005_lidar_classes.ply,5595,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0006_lidar_classes.ply,5702,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0007_lidar_classes.ply,5910,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0008_lidar_classes.ply,5815,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0009_lidar_classes.ply,5782,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0010_lidar_classes.ply,5705,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0011_lidar_classes.ply,5807,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0012_lidar_classes.ply,6033,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0013_lidar_classes.ply,5996,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0014_lidar_classes.ply,5822,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0015_lidar_classes.ply,5901,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0016_lidar_classes.ply,5901,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0017_lidar_classes.ply,5760,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0018_lidar_classes.ply,5796,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0019_lidar_classes.ply,5909,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0020_lidar_classes.ply,5651,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0021_lidar_classes.ply,5925,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0022_lidar_classes.ply,5739,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0023_lidar_classes.ply,5651,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0024_lidar_classes.ply,5841,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0025_lidar_classes.ply,5734,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0026_lidar_classes.ply,5742,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0027_lidar_classes.ply,5845,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0028_lidar_classes.ply,6033,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0030_lidar_classes.ply,6034,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0031_lidar_classes.ply,5695,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0032_lidar_classes.ply,6115,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0033_lidar_classes.ply,5872,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0034_lidar_classes.ply,5919,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0035_lidar_classes.ply,5659,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0036_lidar_classes.ply,5542,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0037_lidar_classes.ply,5738,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0038_lidar_classes.ply,6020,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0039_lidar_classes.ply,5645,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0040_lidar_classes.ply,5761,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0041_lidar_classes.ply,6052,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0042_lidar_classes.ply,5672,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0043_lidar_classes.ply,5787,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0044_lidar_classes.ply,5881,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0045_lidar_classes.ply,5702,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0046_lidar_classes.ply,5865,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0047_lidar_classes.ply,5920,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0048_lidar_classes.ply,6010,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0049_lidar_classes.ply,5881,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0050_lidar_classes.ply,5962,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0051_lidar_classes.ply,5961,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0052_lidar_classes.ply,5663,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0053_lidar_classes.ply,5892,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0054_lidar_classes.ply,5713,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0055_lidar_classes.ply,5966,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
valve_0056_lidar_classes.ply,5863,14,0,13,"0,1,2,3,4,5,6,7,8,9,10,11,12,13",False
