file,label,n_points
valve_0002_lidar_classes.ply,0,970
valve_0002_lidar_classes.ply,1,259
valve_0002_lidar_classes.ply,2,167
valve_0002_lidar_classes.ply,3,377
valve_0002_lidar_classes.ply,4,296
valve_0002_lidar_classes.ply,5,150
valve_0002_lidar_classes.ply,6,729
valve_0002_lidar_classes.ply,7,143
valve_0002_lidar_classes.ply,8,194
valve_0002_lidar_classes.ply,9,287
valve_0002_lidar_classes.ply,10,224
valve_0002_lidar_classes.ply,11,411
valve_0002_lidar_classes.ply,12,634
valve_0002_lidar_classes.ply,13,1002
valve_0003_lidar_classes.ply,0,983
valve_0003_lidar_classes.ply,1,263
valve_0003_lidar_classes.ply,2,157
valve_0003_lidar_classes.ply,3,397
valve_0003_lidar_classes.ply,4,304
valve_0003_lidar_classes.ply,5,139
valve_0003_lidar_classes.ply,6,767
valve_0003_lidar_classes.ply,7,191
valve_0003_lidar_classes.ply,8,128
valve_0003_lidar_classes.ply,9,263
valve_0003_lidar_classes.ply,10,264
valve_0003_lidar_classes.ply,11,350
valve_0003_lidar_classes.ply,12,586
valve_0003_lidar_classes.ply,13,1093
valve_0004_lidar_classes.ply,0,1009
valve_0004_lidar_classes.ply,1,227
valve_0004_lidar_classes.ply,2,156
valve_0004_lidar_classes.ply,3,394
valve_0004_lidar_classes.ply,4,301
valve_0004_lidar_classes.ply,5,161
valve_0004_lidar_classes.ply,6,850
valve_0004_lidar_classes.ply,7,149
valve_0004_lidar_classes.ply,8,141
valve_0004_lidar_classes.ply,9,259
valve_0004_lidar_classes.ply,10,230
valve_0004_lidar_classes.ply,11,370
valve_0004_lidar_classes.ply,12,341
valve_0004_lidar_classes.ply,13,1022
valve_0005_lidar_classes.ply,0,883
valve_0005_lidar_classes.ply,1,254
valve_0005_lidar_classes.ply,2,169
valve_0005_lidar_classes.ply,3,379
valve_0005_lidar_classes.ply,4,285
valve_0005_lidar_classes.ply,5,143
valve_0005_lidar_classes.ply,6,830
valve_0005_lidar_classes.ply,7,158
valve_0005_lidar_classes.ply,8,104
valve_0005_lidar_classes.ply,9,286
valve_0005_lidar_classes.ply,10,291
valve_0005_lidar_classes.ply,11,364
valve_0005_lidar_classes.ply,12,421
valve_0005_lidar_classes.ply,13,1028
valve_0006_lidar_classes.ply,0,1004
valve_0006_lidar_classes.ply,1,272
valve_0006_lidar_classes.ply,2,157
valve_0006_lidar_classes.ply,3,365
valve_0006_lidar_classes.ply,4,311
valve_0006_lidar_classes.ply,5,180
valve_0006_lidar_classes.ply,6,639
valve_0006_lidar_classes.ply,7,143
valve_0006_lidar_classes.ply,8,162
valve_0006_lidar_classes.ply,9,284
valve_0006_lidar_classes.ply,10,293
valve_0006_lidar_classes.ply,11,402
valve_0006_lidar_classes.ply,12,511
valve_0006_lidar_classes.ply,13,979
valve_0007_lidar_classes.ply,0,1072
valve_0007_lidar_classes.ply,1,218
valve_0007_lidar_classes.ply,2,147
valve_0007_lidar_classes.ply,3,379
valve_0007_lidar_classes.ply,4,360
valve_0007_lidar_classes.ply,5,185
valve_0007_lidar_classes.ply,6,793
valve_0007_lidar_classes.ply,7,174
valve_0007_lidar_classes.ply,8,218
valve_0007_lidar_classes.ply,9,280
valve_0007_lidar_classes.ply,10,263
valve_0007_lidar_classes.ply,11,427
valve_0007_lidar_classes.ply,12,483
valve_0007_lidar_classes.ply,13,911
valve_0008_lidar_classes.ply,0,949
valve_0008_lidar_classes.ply,1,270
valve_0008_lidar_classes.ply,2,173
valve_0008_lidar_classes.ply,3,363
valve_0008_lidar_classes.ply,4,302
valve_0008_lidar_classes.ply,5,195
valve_0008_lidar_classes.ply,6,787
valve_0008_lidar_classes.ply,7,133
valve_0008_lidar_classes.ply,8,190
valve_0008_lidar_classes.ply,9,249
valve_0008_lidar_classes.ply,10,240
valve_0008_lidar_classes.ply,11,405
valve_0008_lidar_classes.ply,12,571
valve_0008_lidar_classes.ply,13,988
valve_0009_lidar_classes.ply,0,1055
valve_0009_lidar_classes.ply,1,218
valve_0009_lidar_classes.ply,2,173
valve_0009_lidar_classes.ply,3,358
valve_0009_lidar_classes.ply,4,391
valve_0009_lidar_classes.ply,5,163
valve_0009_lidar_classes.ply,6,701
valve_0009_lidar_classes.ply,7,137
