metric,mean,median,std,min,max
pc_to_mesh_mean,0.0064015857956909745,0.006270547115809233,0.0019204665962367971,0.0029105458774431213,0.012748392356469034
pc_to_mesh_rmse,0.007729565255402941,0.007421249223231147,0.0023169551433103474,0.0033973909690053635,0.02280901240717236
pc_to_mesh_p95,0.014146171723613021,0.013521174010853287,0.0047945341065712905,0.005319205231190833,0.03493002213962948
mesh_to_pc_mean,0.009309554924744149,0.009007934194338083,0.0023537897987622276,0.005455987775938466,0.025976730178055348
chamfer_mean,0.015711140720435123,0.014985318630473553,0.00344689899607823,0.009052907012364829,0.03424210489780826
rmse_normalized,0.016752089586350348,0.016011808605646445,0.0050709043240057495,0.008544225067662786,0.054638178846731
accuracy_score,0.9835482613481684,0.9842405290272954,0.004881636603485261,0.9481924891942761,0.9915281602380008
smoothness_score,0.7533886178013074,0.775323855428513,0.11579304193413142,0.44045933838082296,0.9145859839198927
connectivity_score,0.5624873595202675,0.5,0.40374324716838544,0.007462686567164179,1.0
artifact_score,0.9828867426844821,0.995586612128295,0.02362929894133064,0.9071499503475671,1.0
global_quality_score,0.8205777453385565,0.8129038612927701,0.1151413597127858,0.6041825555198372,0.9669128691859022
n_vertices,932.5424107142857,531.0,920.333643720145,85.0,3634.0
n_triangles,1705.270982142857,806.0,1788.5731403789791,112.0,6951.0
mesh_components,11.823511904761904,2.0,26.51101388084662,1.0,134.0
bad_triangle_ratio,0.01711325731551787,0.004413387871704973,0.023629298941330555,0.0,0.09285004965243297
mean_aspect_ratio,3.544035633360843,1.967424782050403,12.459999604737725,1.5038456676716943,728.1616971248483
